userName,score,content,at,quarter
Sudesh Lama,1,"What I understood is that Airbnb leaves guests at the mercy of the hosts. While the host is protected from loss, they are not at all bothered for the guests. In fact try cancelling or rescheduling and the true colors of Airbnb comes forward. All they will say is ""with new policies and procedures it cannot be done"". Please know - new or old; policies should not be the limitation. One thing that Airbnb has not learnt in the hospitality industry is -SERVICE!",2025-03-30 01:55:35,2025Q1
Diane Richendollar,5,easy to setup 👌,2025-03-30 01:51:51,2025Q1
Cleandria Wrice,5,Have some wonderful homes. all around the world..,2025-03-30 01:50:14,2025Q1
Vaishnavi Gollapally,1,worst app please don't download this app they providing fake job opportunities fraud scam very worst app,2025-03-30 01:29:19,2025Q1
Abraham Jr Pigao,5,user friendly,2025-03-30 00:52:00,2025Q1
D,1,airbnb removes negative reviews from hosts in order to encourage people to keep staying with them. thats bad. thats very bad.,2025-03-29 23:56:37,2025Q1
Jean Cox,5,"We changed plans and extended our stay in Granada, and it was SO easy to find another, excellent place to stay tomorrow! Airbnb is so convenient. 2025: A room in an AIRBNB is 1/5 price of airport hotel, so I booked it a day in advance so I can check in at 9am. Two nights is cheaper than a hotel.",2025-03-29 23:54:27,2025Q1
bura yo,5,"Good find in Mombasa! Our stay at this beautiful and spacious apartment was excellent. Upon arrival we were welcomed warmly with clear instructions which made our check in smooth.. A big plus was secure parking which added to our peace of mind. Apartment is even better in-person- well decorated, fans and AC in the spacious rooms, big bathtub and showers with good pressure.. House have wonderful views of the ocean and easy access to the beach.. Don't think twice about booking!!",2025-03-29 23:13:43,2025Q1
S Hughes,4,lots of choice. properties we have stayed in have been as described,2025-03-29 22:27:43,2025Q1
Luis Fernando D`Angelo Bircak,5,Fantastic!,2025-03-29 22:00:09,2025Q1
Christian Balingit,5,Intersting,2025-03-29 20:39:04,2025Q1
Amanda Hausi,5,Easy to book and fond places,2025-03-29 18:04:27,2025Q1
Joy,5,"Helpful, easy to use and very reliable!",2025-03-29 17:41:26,2025Q1
adelaida Long,5,Always reliable and easy to use.,2025-03-29 16:21:19,2025Q1
ian paul,5,extremely easy to make bookings,2025-03-29 15:40:13,2025Q1
kishore ch,5,very good deals for excellent property,2025-03-29 15:34:19,2025Q1
ronin markus,1,inconvenient,2025-03-29 15:28:57,2025Q1
Abhishek Pal,5,awesome platform,2025-03-29 14:15:52,2025Q1
Mark Ng,5,Easy to use.,2025-03-29 13:39:44,2025Q1
Mathew Clements,5,AirBNB has been great for my wife & I. we've stayed in locations from Fl to IL and always have been well pleased.,2025-03-29 12:56:26,2025Q1
Andy,1,Very disappointing,2025-03-29 12:24:35,2025Q1
Marcus Tiggs,1,tried the paying on the website and the app and the were errors with the payment. after using every payment method and moving money from card to card it still didn't work,2025-03-29 11:38:22,2025Q1
Holly Eve Coleman,5,"I've always used this app for vacations or work travels, and I have the best experiences with them. They make it easy to search and find just about any style of rental property you're looking for, anywhere!! Recently, someone told me that VRBO had less fees.. I tried it out today, only to find that the same listing on VRBO was $30 cheaper on Airbnb (due to fees.) I think I'll stick to Airbnb 🤗",2025-03-29 11:09:38,2025Q1
Maureen Delgado,1,"I hate the new Airbnb update. I way preferred the old quick replies and scheduled messages setup. It keeps freezing when I scroll through the quick replies, and I have to keep closing and reopening the app just to see the rest.",2025-03-29 10:03:53,2025Q1
Mary Marcantonio,5,easy to navigate website.,2025-03-29 09:24:20,2025Q1
Nomad Picturist,1,They force you to give them all your identity info after you pay for the reservation. Very sneaky! I wonder what they do with your identity!!!,2025-03-29 09:20:49,2025Q1
Ryan James,5,"what an amazing experience we had and will definitely be back for another stay sometime. Very professional service and great communication to make this stay so easy and enjoyable. thanks again, Ryan",2025-03-29 09:20:23,2025Q1
andrew forbes,5,"very good, very straight forward.",2025-03-29 07:25:43,2025Q1
E V,2,It still is impossible to change dates to a 1 day minimum stay without deleting trip lengths and or custom length trips. On any other booking platform you can just click on the dates and save the changes. This is highly user unfriendly. I have been sending feedback in regards to this problem since at least 2 years but they like to rather keep it time consuming and annoying. To open days in between takes forever. That is why I usually do not bother and just open the dates on other platforms.,2025-03-29 07:25:15,2025Q1
Yahaya Baako,5,Great,2025-03-29 07:19:49,2025Q1
Oma Blackwell,5,So convenient. able to communicate with the owner or property manager without jumping through hoops. Very user friendly!!,2025-03-29 07:07:36,2025Q1
Anthony Mehrtens,5,easy to navigate,2025-03-29 05:51:10,2025Q1
Piotr Jastrzebski,5,now that all prices are including all taxes in fees - I like it!,2025-03-29 05:33:10,2025Q1
Rowan piths,5,lovely app,2025-03-29 05:24:10,2025Q1
John Holmes,5,Brilliant. So easy to use.,2025-03-29 04:29:10,2025Q1
Nokuthula Morare,5,the best,2025-03-29 03:59:28,2025Q1
nazeem s,5,One of the Best Hosting App...,2025-03-29 03:27:50,2025Q1
Jeanne Shepard,5,Great hosts to deal with. You'll love your stay.,2025-03-29 03:09:05,2025Q1
Kelly Bradley,5,easy to use...informative,2025-03-29 03:02:28,2025Q1
Michele Hennick,5,Iv always had great luck using this app. Great deals and I love the homeyness of the places. Truly a more home away from home. The high standards are so appreciated.,2025-03-29 02:20:22,2025Q1
Sabrina Rodriguez,5,love it!!!!,2025-03-29 01:47:10,2025Q1
Bluu Steele89,5,my experience has been exceptional so far I appreciate the flexibility an costumer service,2025-03-29 01:07:29,2025Q1
Israel Carcamo,5,always a choice during my travels.,2025-03-29 00:24:13,2025Q1
Mark Lazzeri,5,"I use Airbnb several times a year. Often, I have my 3 dogs with me. Using Airbnb makes it very easy to find exactly the sort of pet-friendly accommodation that I need. It also allows me to choose and stick to a budget for business trips. Booking is always simple and easy.",2025-03-29 00:15:30,2025Q1
Kevin Araneta (Makky),5,Superbs!,2025-03-29 00:12:40,2025Q1
Edgar Olortegui,5,"way too usefully, easy to use!",2025-03-28 23:49:20,2025Q1
A Google user,5,Só far it is great.,2025-03-28 22:27:13,2025Q1
Jeri Lynn Delegans,5,easy to process,2025-03-28 22:21:40,2025Q1
atul bhoot,1,👎,2025-03-28 22:17:50,2025Q1
Roelof Riphagen,5,Easy to use.,2025-03-28 18:56:16,2025Q1
Random Kevin,1,The company is now offering stays more expensive than hotels but with extra rules around cleaning that you have to do AND you have to pay a huge cleaning fee AND a huge service fee. The ensh1tification has become too much.,2025-03-28 18:53:15,2025Q1
mahi adel,2,The app has a bug and I can not open anymore!!,2025-03-28 17:53:34,2025Q1
Florance Philip,5,good support from Airbnb in time of booking the guest house. special thanks to the agent Jasmine who really helped me.,2025-03-28 17:30:15,2025Q1
Samuel Long,5,great and wonderful hostess,2025-03-28 17:03:37,2025Q1
Mishal Varghese,5,great,2025-03-28 17:00:15,2025Q1
Anje Taljaard,5,User friendly,2025-03-28 16:31:41,2025Q1
Jasper Cuajotor,3,request for damage refund is not working i cant upload images. please fix it since some guests steal or damage items.,2025-03-28 14:49:37,2025Q1
Bry Mark,5,greatplace njve clean rooms,2025-03-28 14:09:15,2025Q1
Jyoti,5,"Good app while exploring world and validations, reviews help to finalise stay.",2025-03-28 13:31:04,2025Q1
Anthony Smith,5,A practical and charming way to meet people in different locations.,2025-03-28 13:11:06,2025Q1
Rosemarie Nelson,5,easy!,2025-03-28 12:42:33,2025Q1
blanca fuentes,5,Always a great experience very smooth app for booking and communicating with the hosts.,2025-03-28 12:12:10,2025Q1
Dawn N,5,Marina was very helpful!,2025-03-28 11:19:23,2025Q1
Pachia Xiong,1,I've had the worst customer experience with this app. I've had a couple terrible experiences with their hosts on this platform. Airbnb offered me a coupon to resolve my issue but then retracted their decision. Do not trust 🚫!,2025-03-28 11:07:43,2025Q1
Steve Croteau,4,So far do good,2025-03-28 10:24:48,2025Q1
Julia Adams,5,easy & gave me options,2025-03-28 09:50:34,2025Q1
Keyanna Mosley,5,second time using the app and I've had a great experience,2025-03-28 09:30:20,2025Q1
Anabelle Victorien,3,"I should be able to upload my ID from my album, very frustrating.",2025-03-28 09:05:40,2025Q1
Kristina Wilke,5,Always find the best stays,2025-03-28 08:36:59,2025Q1
Jeannette roseme,5,it's was very easy to navigate in the app,2025-03-28 08:15:45,2025Q1
T,1,Some of the worst customer support you will ever encounter,2025-03-28 07:50:44,2025Q1
Vera Williams,5,great selections,2025-03-28 07:39:23,2025Q1
Zetvi Sheptian,5,great,2025-03-28 06:41:16,2025Q1
Shivam bhardwaj,5,"""Airbnb is a game-changer for travelers! The app is easy to use, with a wide range of accommodations from budget stays to luxury homes. The booking process is smooth, and the filters help find the perfect place. I love the guest reviews, which make it easy to trust hosts. Plus, the Experiences feature adds unique activities to trips. Highly recommended for anyone looking for a home away from home!""",2025-03-28 05:04:15,2025Q1
Binisha B,5,Hosting in Airbnb has been a very nice experience. As well as booking apartments. Overall a very good experience.,2025-03-28 04:46:45,2025Q1
Angie,5,I've been very pleased with Airbnb!,2025-03-28 03:54:13,2025Q1
Philip Robinson,1,Airbnb is increasingly a rip off. Barely bother with these days.,2025-03-28 03:48:12,2025Q1
Tarun Sharma,5,Good for booking nice properties,2025-03-28 03:39:08,2025Q1
An Bajarias,1,"This is the worst app/company I have ever had experience with. The message verification is not working properly, I can't get the code/text and it hasn't even been 2 attempts and I'm already timed out. and you have no way to reach their customer service through mobile cause you need to go through your account which needed to be logged in on the android phone but the problem is you can't login. So frustrating.",2025-03-28 03:33:50,2025Q1
adaora Alexander,5,I just love this I couldn't believe it was easier than I had imagine 🤔👌❤️❤️❤️,2025-03-28 03:22:14,2025Q1
Jodi M.,5,Easy to seach & book!,2025-03-28 03:14:46,2025Q1
Harle Ross,5,very convenient way to search for housing. I always use this app.,2025-03-28 01:59:17,2025Q1
Toluwa2009 Iyageh,5,Airbnb definitely gives you the best options.,2025-03-28 01:58:31,2025Q1
Michael Deelon,5,it's good,2025-03-28 00:59:42,2025Q1
JD Castro,1,allow users to choose if they want to receive notifications by email!!! I'm about to delete my account!!!,2025-03-28 00:54:43,2025Q1
Sharaya Defrates,5,always cheaper,2025-03-27 23:38:59,2025Q1
Kierston Green,1,"wouldn't even let me book. according to the representative it was flagged as a possible party and according to the supervisor, it flags larger groups. it was for 3 people.",2025-03-27 23:12:28,2025Q1
Naja Cherry,5,"I have used this platform for multiple trips, and so far, each experience has been blissful. The hosts are very communicative, and the locations have been a plus, especially when traveling with larger groups.",2025-03-27 23:09:49,2025Q1
Alejandro Rodriguez Mann,1,Needs dark mode toggled by the system!!! Also needs MFA,2025-03-27 21:31:16,2025Q1
Richard Lawrie,5,Amazing experience with Air BnB,2025-03-27 21:28:56,2025Q1
Oyin,5,Easy to get everything you want and many lovely and affordable options,2025-03-27 20:52:20,2025Q1
Mellissa Martinez,4,love it,2025-03-27 19:41:09,2025Q1
Peter Dougan,5,"it's just easy, beautifully designed and works well!",2025-03-27 18:27:20,2025Q1
Sreenadh S,5,smart,2025-03-27 15:42:35,2025Q1
Rebecca Jansen,5,easy to use,2025-03-27 11:55:56,2025Q1
Kayla Dawn,1,"Meh, airbnb will go the way of the dinosaurs, extinct.",2025-03-27 11:54:36,2025Q1
Hanging With Karim,5,Always A great stay and tons of options for anybody's budget. sometimes I travel with the family and we get a big house. other times I drive solo and rent a room.,2025-03-27 11:10:12,2025Q1
imelda hirsch,5,It always gives us what we are looking for. Never disappointed so far!,2025-03-27 10:12:55,2025Q1
Juda Niece,1,The worst app for booking a room EVER,2025-03-27 09:04:59,2025Q1
Yash choudhary,4,good,2025-03-27 08:46:56,2025Q1
Sam Wylie,1,AirBnB Practices Age Discrimination,2025-03-27 07:32:49,2025Q1
Andy Crumbacker,5,intuitive interface,2025-03-27 06:04:14,2025Q1
Nona Kyson,1,this is a horrible website It took me 3 days to pay for a reservation 😫,2025-03-27 04:47:06,2025Q1
Nilton Vargas,5,I absolutely love this service!,2025-03-27 03:47:55,2025Q1
Edward Boland,4,"easy, quick, and no nonsense booking :)",2025-03-27 02:52:01,2025Q1
r maAK,5,Airbnb has been thorough in it's format and liaising between host and renter. all in all it keeps the communication open at all times which is a great help for guests.,2025-03-27 02:30:51,2025Q1
Suresh M,5,They have great properties to book with good location and family can leave under one roof.,2025-03-27 01:30:00,2025Q1
Erica murray,5,Very easy to use,2025-03-27 01:02:59,2025Q1
Sinethemba Maduna,5,Amazing experience so far,2025-03-27 01:01:17,2025Q1
Tan Jason,5,"I feel secure travel with Airbnb. This apps locked host and guest bank account, I'm insurancely safe 👍🏼 This is the safest homestay apps ever.",2025-03-27 00:46:48,2025Q1
Michelle Peach,5,Easy to use. Lits of fantastic accommodation.,2025-03-27 00:37:09,2025Q1
Optic Reflex,5,so far my first day signing up seems great so far,2025-03-27 00:09:24,2025Q1
Correne Gladding,5,very easy to use.,2025-03-26 23:46:11,2025Q1
dawn baich,5,great,2025-03-26 22:45:32,2025Q1
nourayn,4,"pretty good, verifying identity is a bit of a bother but apart from that its a useful app",2025-03-26 22:22:45,2025Q1
Repal Dey,1,"Interesting experience with @Airbnb—my friend, a first-time user, received a good gesture coupon, but when I inquired, I was told it's not available. Just wondering how these policies work. #JustCurious #FairTreatment""",2025-03-26 22:04:42,2025Q1
Divya Murali,5,very nice,2025-03-26 21:19:58,2025Q1
Oscar Kamau,5,Great app for making reservations during travel. Enjoying it in Kenya!,2025-03-26 20:32:04,2025Q1
Atay,5,l love this app,2025-03-26 20:11:45,2025Q1
Carolann Guthrie,5,easy site to use,2025-03-26 19:37:33,2025Q1
Dian Arlini,5,good choices,2025-03-26 19:34:10,2025Q1
Cherylanne MORGAN,5,excellent service online.,2025-03-26 19:26:43,2025Q1
Lucky Goc-ong,5,I feel safer using Airbnb compared to other booking platforms.,2025-03-26 17:25:41,2025Q1
JAY,5,Amazing application incredible technological innovation,2025-03-26 16:53:21,2025Q1
Matrix UK,4,Handy App and service but T&C relating to hosts must be tightened up.,2025-03-26 16:42:41,2025Q1
Mostofa Noor,3,Great app but has bugs during fee requests and calendar updates for hosting.,2025-03-26 14:23:19,2025Q1
José Martínez,1,"Very disappointed with Airbnb’s claims process. It’s been over 10 days with no clarity or resolution. This delay is impacting my work and academic responsibilities. I’m forced to escalate to regulators if no action is taken soon. Airbnb, please improve your support and claims handling.",2025-03-26 12:36:41,2025Q1
Charles Crowder,1,Your rates are worse than a hotel and your hosts are greedy.,2025-03-26 12:11:19,2025Q1
Dan A,5,great app to find on the go places to stay,2025-03-26 11:47:09,2025Q1
Claire Comber,5,very easy access,2025-03-26 11:28:58,2025Q1
Justin Prosser,5,really like the way so many places are available in the areas that we have thought about going and places we didn't even know about to add to our bucket list. customer service is outstanding and we really love using this app for our vacation or getaway escapes.,2025-03-26 11:19:16,2025Q1
Bethzaida Barreto,5,excellent,2025-03-26 10:35:41,2025Q1
MOHD FAIZAL,5,process booking very easy,2025-03-26 10:12:27,2025Q1
conrad Ippolito,1,whatever update you just pushed locked me out of every single email account or 2FA,2025-03-26 10:00:01,2025Q1
Terri Ann Granny,5,Such a beautiful stay peaceful,2025-03-26 09:53:20,2025Q1
Mary Hawke,5,"An excellent App, great support if needed..I only book through Airbnb as it's secure and effortless.",2025-03-26 09:06:55,2025Q1
Josh Reisz,5,Always a great help with any travel experience.,2025-03-26 07:09:46,2025Q1
Alessandro Amella,5,"Really great and useful, nice customer support when needed, recommended",2025-03-26 07:09:32,2025Q1
Deanna Yeager,5,better than other comparable apps! user friendly,2025-03-26 07:02:48,2025Q1
Andrew Trotter,5,love dis app,2025-03-26 06:58:06,2025Q1
Dudu Mthembu,5,good,2025-03-26 06:42:36,2025Q1
Hasan Mohamed,5,"safe way for booking apartments, good customer service.",2025-03-26 06:32:29,2025Q1
Genevra Rose,1,"No one knows how to use the full home VS renting a room types. It's impossible to filter it such that you only show FULL HOMES with NO ONE ELSE IN THEM during your stay. Everything is misclassified. I wish there was a ""this is inaccurate fix it"" that sounded less harsh than ""reporting"" it. Listing - Full home with self check in. Description will sound great - at bottom says X isn't for guest use because hosts are staying too. Filters are trash and intentionally made badly.",2025-03-26 06:26:14,2025Q1
Alex T,1,don't bother. hosts can cancel 4 months into the reservation and Airbnb would do absolutely nothing about it. try booking and vbro much much better customer protection and service,2025-03-26 06:11:58,2025Q1
Parth Singh,5,It's better to find an air bnb rather than hotels these days.,2025-03-26 05:15:52,2025Q1
Amelia Jo Hanly,5,I've had the best experiences with this app,2025-03-26 05:14:32,2025Q1
Trans world,1,worst app ever payment hone ke baad id verification Krna h inko or khud ki I'd ka hjar bar photo bheja uske baad bhi vrfy ni kr paye ye log the cancel krke khte h refund hoga or refund ka abhi tak koi ata pta nahi h id vrfy phle krlo or apke app par ye nahi hota h to atleast payment pahle Mt lo ab mujhe mera refund kitne din me denge ye log kuch nahi pta but unki wjh se mera payment bhi gya or ab mere pas pase h bhi nahi,2025-03-26 04:33:38,2025Q1
Matt Murph,3,As a host on here. the app doesn't work when map viewing. tried to explain this to airbnb and they can't fix it,2025-03-26 04:17:34,2025Q1
pakeerathan nadarajah,5,great unit,2025-03-26 04:16:34,2025Q1
Hunter Frommelt,1,"Canceled within 5 minutes of setting up an Airbnb, and still get charged for the night that got scheduled incorrectly. It's not like the owners of the Airbnb would have even noticed the booking in time.",2025-03-26 04:10:50,2025Q1
Tim Hay,5,Easy to use app that takes a lot of the stress out of booking accommodation.,2025-03-26 04:03:29,2025Q1
Sandra Ayebazibwe,5,I never knew how much I enjoyed hosting until Airbnb. Thank you for making it so easy and safe for both users and hosts.,2025-03-26 03:47:13,2025Q1
Ekaterina,1,"Discrimination based on nationality. You are from Russia - you can't book (residence doesn't matter). Then the support starts telling stories about an AI that blocked my account, and even smart people (probably not smart enough) can't cancel it. Will continue to use booking. They do not discriminate against people!!! I should mention that I started to use Airbnb 7 years ago!",2025-03-26 03:45:47,2025Q1
Omkar Mahajan,2,the taxes and Airbnb charges are very high.,2025-03-26 01:33:14,2025Q1
Phronia Stanton,4,they helped us reach the owners when we were unable to and fixed the issue we had.,2025-03-26 00:47:48,2025Q1
Garrison,3,"Hosts don't update available dates. The app allows you to book a date, and the host cancels saying it's not available. Has happened twice now",2025-03-26 00:32:08,2025Q1
My Chen,5,the best,2025-03-26 00:24:56,2025Q1
Curtis Hacker,5,"easy, fun, and fast",2025-03-25 22:59:46,2025Q1
Tracee Batchelor,5,always easy to book and plenty of info to find the right place,2025-03-25 22:52:48,2025Q1
YJ Heng,5,Great,2025-03-25 22:41:40,2025Q1
Thinh Nguyen,1,"lock user account for no reason, customer support didn't give any help",2025-03-25 21:38:16,2025Q1
John O'Donnell,5,Excellent,2025-03-25 21:05:53,2025Q1
